chr	start	stop	pop
1	10583	1961168	EUR
1	1892607	3666172	EUR
1	3582736	4320751	EUR
1	4380811	5853833	EUR
1	5913893	7187275	EUR
1	7247335	9305140	EUR
1	9365199	10746927	EUR
1	10806984	11717784	EUR
1	11777841	12719464	EUR
1	12779466	14565015	EUR
1	14891511	16571235	EUR
1	16897730	18336405	EUR
1	18662899	20142656	EUR
1	20469149	21410095	EUR
1	21736588	22760390	EUR
1	23086883	23594100	EUR
1	23920590	25190354	EUR
1	25516845	27075376	EUR
1	27401867	29689034	EUR
1	30161881	31973084	EUR
1	32438685	34334157	EUR
1	34799758	37083582	EUR
1	37549183	38266175	EUR
1	38731847	39734895	EUR
1	40200567	41509656	EUR
1	41975327	43292786	EUR
1	43758457	44503511	EUR
1	44969183	46433829	EUR
1	46899501	47536904	EUR
1	48002576	48512516	EUR
1	48978188	49428505	EUR
1	49894177	51248054	EUR
1	51713726	53760589	EUR
1	54226262	55947444	EUR
1	56413117	56556055	EUR
1	57021728	58399727	EUR
1	58865399	59424737	EUR
1	59890409	61456693	EUR
1	61922365	62989418	EUR
1	63455089	64576021	EUR
1	65041704	66473721	EUR
1	66939404	68012212	EUR
1	68477895	69221933	EUR
1	69687616	70906787	EUR
1	71372470	71218722	EUR
1	71684405	73861224	EUR
1	74326907	76262450	EUR
1	76728135	79195513	EUR
1	79661198	80888506	EUR
1	81354191	83526065	EUR
1	83991748	84378812	EUR
1	84844495	85989068	EUR
1	86454751	87662948	EUR
1	88128631	89600744	EUR
1	90066303	91420760	EUR
1	91886317	93070902	EUR
1	93536459	94040635	EUR
1	94506191	95685337	EUR
1	96150893	97419693	EUR
1	97885249	99335048	EUR
1	99800604	100360849	EUR
1	100826405	101575460	EUR
1	102041016	102433189	EUR
1	102898745	103371589	EUR
1	103914211	105545220	EUR
1	106087842	107867043	EUR
1	108409665	109761309	EUR
1	110303931	111199115	EUR
1	111741737	112730684	EUR
1	113273306	114331223	EUR
1	114873845	115337972	EUR
1	115880593	118296444	EUR
1	118839067	148907004	EUR
1	148361253	151566405	EUR
1	151538881	153208353	EUR
1	153180829	154797927	EUR
1	154770403	156366342	EUR
1	156336133	158057622	EUR
1	158027412	159943258	EUR
1	159913048	162376931	EUR
1	162346721	165222465	EUR
1	165191702	166491280	EUR
1	166460517	169117086	EUR
1	169086324	170588635	EUR
1	170557776	173128768	EUR
1	173097907	175120632	EUR
1	175089768	177464245	EUR
1	177433381	178975174	EUR
1	178944309	178985335	EUR
1	178954470	181174985	EUR
1	181144121	182786221	EUR
1	182755356	184626379	EUR
1	184595513	186840891	EUR
1	186810023	188790814	EUR
1	188759945	189935000	EUR
1	189904130	191899800	EUR
1	191868930	194138312	EUR
1	194107442	196207071	EUR
1	196176201	197342384	EUR
1	197311514	199270756	EUR
1	199239884	200168521	EUR
1	200137649	201620847	EUR
1	201589975	203365606	EUR
1	203334734	204711940	EUR
1	204681068	206268085	EUR
1	206073265	208237019	EUR
1	208410364	210614406	EUR
1	210787750	212668988	EUR
1	212842330	214404923	EUR
1	214578266	216070292	EUR
1	216243634	218532171	EUR
1	218705513	219417229	EUR
1	219590571	221684889	EUR
1	221858231	222056878	EUR
1	222230220	224750818	EUR
1	224938520	226623159	EUR
1	226810860	229020501	EUR
1	229156248	230549509	EUR
1	230685255	231954506	EUR
1	232090252	233293538	EUR
1	233429284	234463688	EUR
1	234599434	235656136	EUR
1	235819436	237392328	EUR
1	237555628	238404507	EUR
1	238567807	239762014	EUR
1	239925314	240400791	EUR
1	240564091	241418920	EUR
1	241582220	241908300	EUR
1	242071602	243946197	EUR
1	244109499	245343444	EUR
1	245506746	247181216	EUR
1	247344518	248945267	EUR
2	10133	1777250	EUR
2	1781022	3926189	EUR
2	3973779	5568205	EUR
2	5708337	6696122	EUR
2	6836254	8282017	EUR
2	8422147	10158342	EUR
2	10298469	12279024	EUR
2	12419150	14195184	EUR
2	14335308	16148467	EUR
2	16329735	18466157	EUR
2	18647423	19492643	EUR
2	19692404	20850730	EUR
2	21050490	23118512	EUR
2	23341383	24464049	EUR
2	24686918	26672117	EUR
2	26894985	28375910	EUR
2	28598777	28994693	EUR
2	29217559	30240845	EUR
2	30463711	31327584	EUR
2	31550450	33138710	EUR
2	33363777	35119962	EUR
2	35345028	35896940	EUR
2	36122006	37905569	EUR
2	38132712	38804195	EUR
2	39031337	40054343	EUR
2	40281483	43082452	EUR
2	43309590	44086664	EUR
2	44313803	46255495	EUR
2	46482634	47091633	EUR
